title,author,price,edition,publish_date,item_url,image_url,category,released_year
Out of the Dark,Gregg Hurwitz,15.03,Paperback,25 Jul 2019,https://www.bookdepository.com/Out-Dark-Gregg-Hurwitz/9781405928564?ref=grid-view&qid=1630182826837&sr=1-77,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405928564.jpg,Thriller,2019
Joe Country,Mick Herron,7.54                             ,Paperback,07 Feb 2020,https://www.bookdepository.com/Joe-Country-Mick-Herron/9781473657489?ref=grid-view&qid=1630182826837&sr=1-78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473657489.jpg,Thriller,2020
Hostage,Clare Mackintosh,14.04                             ,Hardback,24 Jun 2021,https://www.bookdepository.com/Hostage-Clare-Mackintosh/9780751577068?ref=grid-view&qid=1630182826837&sr=1-79,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751577068.jpg,Thriller,2021
Nomad,James Swallow,15.40,Paperback,20 Dec 2016,https://www.bookdepository.com/Nomad-James-Swallow/9781785760433?ref=grid-view&qid=1630182826837&sr=1-80,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785760433.jpg,Thriller,2016
The Chemist,Stephenie Meyer,8.52                             ,Paperback,13 Jul 2017,https://www.bookdepository.com/Chemist-Stephenie-Meyer/9780751570045?ref=grid-view&qid=1630182826837&sr=1-81,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751570045.jpg,Thriller,2017
Without You,Saskia Sarginson,22.61,Paperback,17 Jul 2014,https://www.bookdepository.com/Without-You-Saskia-Sarginson/9780749958701?ref=grid-view&qid=1630182826837&sr=1-82,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749958701.jpg,Thriller,2014
When She Was Good,Michael Robotham,11.99                             ,Paperback,08 Jul 2021,https://www.bookdepository.com/When-She-Was-Good-Michael-Robotham/9780751573497?ref=grid-view&qid=1630182826837&sr=1-83,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751573497.jpg,Thriller,2021
The Crucifix Killer,Chris Carter,12.94,Paperback,31 Jan 2013,https://www.bookdepository.com/Crucifix-Killer-Chris-Carter/9781471128219?ref=grid-view&qid=1630182826837&sr=1-84,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471128219.jpg,Thriller,2013
Broken Ground,Val McDermid,14.21,Paperback,07 Feb 2019,https://www.bookdepository.com/Broken-Ground-Val-McDermid/9780751568257?ref=grid-view&qid=1630182826837&sr=1-85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751568257.jpg,Thriller,2019
The Chestnut Man,Soren Sveistrup,13.48,Paperback,17 Sep 2019,https://www.bookdepository.com/Chestnut-Man-Soren-Sveistrup/9781405939768?ref=grid-view&qid=1630182826837&sr=1-86,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405939768.jpg,Thriller,2019
